unix_time,datetime,cpu_usage_percent,temperature_c,cpu_freq_mhz
1520605984.8088977,2018-03-09 14:33:04,60.3,50.15,2400.0
1520605985.8103645,2018-03-09 14:33:05,53.55,50.15,2200.0
1520605986.8127198,2018-03-09 14:33:06,51.13,49.6,2400.0
1520605987.814147,2018-03-09 14:33:07,52.23,49.6,2400.0
1520605988.8162255,2018-03-09 14:33:08,56.14,47.95,2400.0
1520605989.8175573,2018-03-09 14:33:09,58.35,49.05,2400.0
1520605990.8189144,2018-03-09 14:33:10,60.1,51.25,2400.0
1520605991.8203819,2018-03-09 14:33:11,55.39,49.6,2400.0
1520605992.82291,2018-03-09 14:33:12,58.66,50.7,2400.0
1520605993.8256001,2018-03-09 14:33:13,54.27,49.05,2400.0
1520605994.8308897,2018-03-09 14:33:14,52.87,50.15,2400.0
1520605995.8322766,2018-03-09 14:33:15,50.88,49.6,2400.0
1520605996.8337214,2018-03-09 14:33:16,55.31,49.6,2400.0
1520605997.8350427,2018-03-09 14:33:17,59.1,49.05,2400.0
1520605998.8363717,2018-03-09 14:33:18,61.25,49.6,2400.0
1520605999.8371096,2018-03-09 14:33:19,56.14,50.15,2400.0
1520606000.8411622,2018-03-09 14:33:20,60.1,50.7,2400.0
1520606001.8427012,2018-03-09 14:33:21,56.78,51.25,2400.0
1520606002.8444312,2018-03-09 14:33:22,53.27,50.7,2400.0
1520606003.8448923,2018-03-09 14:33:23,51.26,49.05,2400.0
1520606004.8463295,2018-03-09 14:33:24,54.02,50.7,2400.0
1520606005.8476546,2018-03-09 14:33:25,60.6,49.05,2400.0
1520606006.8490264,2018-03-09 14:33:26,58.06,49.6,2400.0
1520606007.852719,2018-03-09 14:33:27,58.6,50.15,2400.0
1520606008.8557382,2018-03-09 14:33:28,58.4,50.15,2400.0
1520606009.8591177,2018-03-09 14:33:29,55.86,50.7,2400.0
1520606010.860511,2018-03-09 14:33:30,49.87,50.7,2400.0
1520606011.861976,2018-03-09 14:33:31,57.43,50.7,2400.0
1520606012.863315,2018-03-09 14:33:32,59.5,50.15,2400.0
1520606013.8646717,2018-03-09 14:33:33,62.59,50.7,2400.0
